file name,package url,robot platforms,robot stack,infrastructure
SAILOR,https://github.com/MERLIN2-ARCH/sailor,,[[Object Detection & Semantic Understanding]],"[[Synthetic Data & Dataset Generation]], [[Visualization, Monitoring & Data Tools]]"
simROS2,https://github.com/CoppeliaRobotics/simROS2,,,[[Simulators & Playgrounds]]
SkiROS2,https://github.com/RobotLabLTH/SkiROS2,,[[Task-Level Planning & Reasoning]],
slam_toolbox,https://github.com/SteveMacenski/slam_toolbox-release,[[Ground Robots (UGVs legged wheeled)]],"[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
slicer_ros2_module,https://github.com/rosmed/slicer_ros2_module,[[Healthcare & Assistive Robotics]],"[[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",[[Hardware Drivers & Interfaces]]
SMART-TRACK,https://github.com/mzahana/smart_track,[[Aerial Robots (UAVs)]],"[[Sensing & Raw Data Processing (camera, lidar, sonar, radar)]], [[State Estimation]]",
SMARTmBOT,https://github.com/SMARTlab-Purdue/SMARTmBOT,"[[Ground Robots (UGVs legged wheeled)]], [[Robots for Education & Research]]",,[[Hardware Drivers & Interfaces]]
Space_ROS,https://github.com/space-ros,[[Aerospace & Space Robotics]],,"[[Real-Time Execution & Scheduling]], [[Security, Safety & Verification]], [[Simulators & Playgrounds]]"
spark-fast-lio,https://github.com/MIT-SPARK/spark-fast-lio/tree/main?tab=readme-ov-file,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
SROS2,https://github.com/ros2/sros2,,,"[[Security, Safety & Verification]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
StereoSA,https://github.com/M2219/StereoSA,"[[Autonomous Vehicles (cars, trucks, delivery robots)]], [[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]]",[[Object Detection & Semantic Understanding]],
SUAVE,https://github.com/kas-lab/suave,[[Underwater Robots (UUVs)]],"[[Classical Control (PID, MPC, etc.)]], [[Control - Adaptive & Learning-Based Control (RL, imitation, adaptive dynamics)]]",
SUPER,https://github.com/hku-mars/SUPER,[[Aerial Robots (UAVs)]],"[[Sim2Real Transfer]], [[Motion Planning & Navigation (global, local, path following)]]",[[Simulators & Playgrounds]]
Swarm-SLAM,https://github.com/MISTLab/Swarm-SLAM,[[Ground Robots (UGVs legged wheeled)]],"[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",[[Multi-Robot Systems]]
synchronizer,https://github.com/ruoxianglee/synchronizer,,,"[[Real-Time Execution & Scheduling]], [[Analyzing, Testing, Benchmarking & Profiling]]"
The_Marathon_2,https://github.com/IntelligentRoboticsLabs/marathon_ros2,"[[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Motion Planning (global)]], [[Reactive Planning (local , obstacle avoidance)]], [[Motion Planning & Navigation (global, local, path following)]]",
Toychain,https://github.com/teksander/toychain,,,"[[Security, Safety & Verification]]"
uav_dataset_generation_ros,https://github.com/mzahana/uav_dataset_generation_ros,[[Aerial Robots (UAVs)]],,"[[Synthetic Data & Dataset Generation]], [[Visualization, Monitoring & Data Tools]]"
UAV_Volcanic_Plume_Sampling,https://huggingface.co/edouard-rolland/YOLOv8-volcanic_plume-fuego_summit,[[Aerial Robots (UAVs)]],[[Object Detection & Semantic Understanding]],"[[Synthetic Data & Dataset Generation]], [[Visualization, Monitoring & Data Tools]]"
Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]]",,[[Simulators & Playgrounds]]
UP4ROS2,https://github.com/aiplan4eu/UP4ROS2,,[[Task-Level Planning & Reasoning]],
UUV_simulator,https://github.com/uuvsimulator/uuv_simulator,[[Underwater Robots (UUVs)]],,[[Simulators & Playgrounds]]
VECTOR,https://huggingface.co/datasets/riotu-lab/Synthetic-UAV-Flight-Trajectories,[[Aerial Robots (UAVs)]],[[Motion & Trajectory Prediction]],"[[Synthetic Data & Dataset Generation]], [[Visualization, Monitoring & Data Tools]]"
Video_EncodingDecoding,https://github.com/STAR-Center/ros_mp4,,"[[Sensing & Raw Data Processing (camera, lidar, sonar, radar)]]","[[Visualization, Monitoring & Data Tools]]"
Voice-Controlled-Bot-Using-ROS2,https://github.com/arynfs/Voice-Controlled-Bot-Using-ROS2,[[Ground Robots (UGVs legged wheeled)]],"[[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",
vox_nav,https://github.com/NMBURobotics/vox_nav,[[Ground Robots (UGVs legged wheeled)]],"[[Motion Planning (global)]], [[Reactive Planning (local , obstacle avoidance)]], [[Motion Planning & Navigation (global, local, path following)]]",
webots_ros2,https://github.com/cyberbotics/webots_ros2,[[Ground Robots (UGVs legged wheeled)]],,[[Simulators & Playgrounds]]
Wrapyfi,https://github.com/modular-ml/wrapyfi,,,"[[Cloud/Edge Deployment & Orchestration]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]], [[Middleware & Communication]]"
X-CAR,https://github.com/VT-ASIM-LAB/carma-platform,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Motion Planning (global)]], [[Motion Planning & Navigation (global, local, path following)]]","[[Cloud/Edge Deployment & Orchestration]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
XTENTH-CAR,https://github.com/Shathushan-Sivashangaran/XTENTH-CAR,"[[Autonomous Vehicles (cars, trucks, delivery robots)]], [[Robots for Education & Research]]",,[[Hardware Drivers & Interfaces]]
YASMIN,https://github.com/uleroboticsgroup/yasmin,,[[Task-Level Planning & Reasoning]],"[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
YOLOX,https://github.com/Megvii-BaseDetection/YOLOX,,[[Object Detection & Semantic Understanding]],"[[Embedded Systems & Accelerators]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
